sampler,phase,method,outcome,detail
"multinomial","build","construct","accepted","dbartsSampler len1"
"multinomial","run","run(3,5)","accepted","list len8"
"multinomial","read","predict","accepted","array 10x3x5"
"multinomial","read","predictForests","refused","bartcore_predictPerForest: this sampler reports no per-forest fits; only a coupling that composes its forests through scalar amplitude glue carries them"
"multinomial","read","getTrees","accepted","data.frame 66x5"
"multinomial","read","printTrees","accepted","NULL"
"multinomial","read","plotTree","accepted","NULL"
"multinomial","read","getDispersion","accepted","NULL"
"multinomial","read","getFitsWithoutOffset","refused","$getFitsWithoutOffset is not available on a multinomial sampler: its reported channels are per-category softmax probabilities rather than one additive location; $predict(data@x) serves that read"
"multinomial","read","getLatents","accepted","NULL"
"multinomial","read","getSigmas","accepted","numeric len1"
"multinomial","read","getSumsOfSquaredResiduals","accepted","numeric len1"
"multinomial","read","getForestFits","accepted","matrix/array 40x1"
"multinomial","read","getForestAmplitudes","refused","forest amplitudes require a sampler whose forests carry them"
"multinomial","read","getForestVariableCounts","accepted","matrix/array 3x1"
"multinomial","read","getCalibration","accepted","matrix/array 1x12"
"multinomial","read","copy","accepted","dbartsSampler len1"
"multinomial","read","show","accepted","NULL"
"multinomial","read","extract(S3)","accepted","matrix/array 40x3"
"multinomial","read","plotTree(S3)","accepted","NULL"
"multinomial","read","storeState","accepted","NULL"
"multinomial","read","getPointer","accepted","externalptr len1"
"multinomial","mutate","setControl","accepted","NULL"
"multinomial","mutate","setModel","refused","$setModel is not available on a multinomial sampler: every category forest's prior is calibrated at creation from the softmax map; make a new sampler instead"
"multinomial","mutate","setData","refused","$setData is not available on a multinomial sampler: its K category forests fix their data at creation, and the count response is not a column of it; make a new sampler instead"
"multinomial","mutate","setResponse","refused","$setResponse is not available on a multinomial sampler: its response is the n x K count matrix, which a flat vector cannot express and which a length-n integer vector would only be guessed into; replace it with $setCounts"
"multinomial","mutate","setOffset","refused","$setOffset is not available on a multinomial sampler: a common per-observation shift is the softmax's own null direction, so a flat offset is inert; the shift that is not is the n x K matrix $setCategoryOffset takes"
"multinomial","mutate","setWeights","refused","$setWeights is not available on a multinomial sampler: an integer case weight is already row-wise replication in its count response, and a non-integer one has no exact augmentation sampler"
"multinomial","mutate","setCounts","accepted","NULL"
"multinomial","mutate","setCategoryOffset","refused","'offset' must be a numeric matrix"
"multinomial","mutate","setCategoryTestOffset","refused","'offset.test' must be a numeric matrix"
"multinomial","mutate","setActiveRows","accepted","NULL"
"multinomial","mutate","setForestWeights","refused","$setForestWeights is not available on a multinomial sampler: its forests are its categories, whose margin is a log-sum-exp over the other K - 1, so no forest carries a precision of its own"
"multinomial","mutate","setForestBasis","refused","$setForestBasis is not available on a multinomial sampler: its forests are its categories, which carry no amplitudes and so no basis for any to multiply"
"multinomial","mutate","setSigma","refused","$setSigma is not available on a multinomial sampler: the softmax carries no residual scale to set"
"multinomial","mutate","setPredictor","accepted","NULL"
"multinomial","mutate","setCutPoints","accepted","NULL"
"multinomial","mutate","setTestPredictorAndOffset","accepted","NULL"
"multinomial","mutate","setTestPredictor","accepted","NULL"
"multinomial","mutate","setTestOffset","refused","bartcore_setTestOffset: a flat test offset is added to every reported channel after the categories are blended, which would move the reported probabilities off the simplex, and before the blend a common per-observation shift is inert; write an nTest x K matrix through the category test offset channel"
"multinomial","mutate","setCalibration","refused","$setCalibration is not available on a multinomial sampler: the softmax calibration map owns every category forest's leaf scale"
"multinomial","mutate","installTrees","accepted","NULL"
"multinomial","mutate","sampleTreesFromPrior","accepted","NULL"
"multinomial","mutate","sampleNodeParametersFromPrior","accepted","NULL"
"multinomial","mutate","growFromRoot","accepted","NULL"
"multinomial","mutate","setState","refused","'state' must inherit from bartcoreState"
"multinomial","mutate","adoptPointer","accepted","NULL"
"multinomial","mutate","run(0,2) after mutation","accepted","list len8"
"amplitude","build","construct","accepted","dbartsSampler len1"
"amplitude","run","run(3,5)","accepted","list len10"
"amplitude","read","predict","refused","bartcore_predict: this sampler's forest amplitudes have no off-sample basis, so its combined test fits are undefined; replay the forests separately and recombine them with the amplitude glue instead"
"amplitude","read","predictForests","accepted","array 10x2x5"
"amplitude","read","getTrees","accepted","data.frame 45x5"
"amplitude","read","printTrees","accepted","NULL"
"amplitude","read","plotTree","accepted","NULL"
"amplitude","read","getDispersion","accepted","NULL"
"amplitude","read","getFitsWithoutOffset","accepted","matrix/array 40x1"
"amplitude","read","getLatents","accepted","NULL"
"amplitude","read","getSigmas","accepted","numeric len1"
"amplitude","read","getSumsOfSquaredResiduals","accepted","numeric len1"
"amplitude","read","getForestFits","accepted","matrix/array 40x1"
"amplitude","read","getForestAmplitudes","accepted","matrix/array 2x1"
"amplitude","read","getForestVariableCounts","accepted","matrix/array 3x1"
"amplitude","read","getCalibration","accepted","matrix/array 1x12"
"amplitude","read","copy","accepted","dbartsSampler len1"
"amplitude","read","show","accepted","NULL"
"amplitude","read","extract(S3)","accepted","matrix/array 40x3"
"amplitude","read","plotTree(S3)","accepted","NULL"
"amplitude","read","storeState","accepted","NULL"
"amplitude","read","getPointer","accepted","externalptr len1"
"amplitude","mutate","setControl","accepted","NULL"
"amplitude","mutate","setModel","refused","setModel does not support a sampler that carries forest amplitudes: every forest's node and tree priors are calibrated at creation; make a new sampler instead"
"amplitude","mutate","setData","refused","setData does not support a sampler that carries forest amplitudes: every forest is calibrated against the data at creation; make a new sampler instead"
"amplitude","mutate","setResponse","accepted","NULL"
"amplitude","mutate","setOffset","accepted","NULL"
"amplitude","mutate","setWeights","accepted","NULL"
"amplitude","mutate","setCounts","refused","$setCounts is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"amplitude","mutate","setCategoryOffset","refused","$setCategoryOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"amplitude","mutate","setCategoryTestOffset","refused","$setCategoryTestOffset is not available on a sampler that carries no count response: only a multinomial (softmax) sampler has one"
"amplitude","mutate","setActiveRows","accepted","NULL"
"amplitude","mutate","setForestWeights","accepted","NULL"
"amplitude","mutate","setForestBasis","error-without-reason","object 'x1' not found"
"amplitude","mutate","setSigma","accepted","NULL"
"amplitude","mutate","setPredictor","accepted","NULL"
"amplitude","mutate","setCutPoints","accepted","NULL"
"amplitude","mutate","setTestPredictorAndOffset","refused","bartcore_setTestPredictorAndOffset: this sampler's forest amplitudes have no off-sample basis, so its combined test fits are undefined; replay the forests separately and recombine them with the amplitude glue instead"
"amplitude","mutate","setTestPredictor","refused","argument is of length zero"
"amplitude","mutate","setTestOffset","refused","when test matrix is NULL, test offset must be as well"
"amplitude","mutate","setCalibration","refused","setCalibration does not support a sampler that carries forest amplitudes: every forest's leaf scale comes from the multi-forest calibration map; make a new sampler instead"
"amplitude","mutate","installTrees","accepted","NULL"
"amplitude","mutate","sampleTreesFromPrior","accepted","NULL"
"amplitude","mutate","sampleNodeParametersFromPrior","accepted","NULL"
"amplitude","mutate","growFromRoot","accepted","NULL"
"amplitude","mutate","setState","refused","'state' must inherit from bartcoreState"
"amplitude","mutate","adoptPointer","accepted","NULL"
"amplitude","mutate","run(0,2) after mutation","accepted","list len10"
"hetero","build","construct","accepted","dbartsSampler len1"
"hetero","run","run(3,5)","accepted","list len10"
"hetero","read","predict","accepted","list len2"
