entry,conditioning,generic,type,sample,outcome,detail
"dbarts","family=auto","","","","accepted","list len2"
"dbarts","family=gaussian","","","","accepted","list len2"
"dbarts","family=probit","","","","accepted","list len2"
"dbarts","family=logistic","","","","accepted","list len2"
"dbarts","family=aft","","","","accepted","list len2"
"dbarts","family=multinomial","","","","accepted","list len2"
"dbarts","family=ordinal","","","","accepted","list len2"
"dbarts","family=nbinom","","","","accepted","list len2"
"dbarts","family=hazard","","","","accepted","list len2"
"dbarts","family=hazard.probit","","","","accepted","list len2"
"dbarts","family=hazard.logistic","","","","accepted","list len2"
"dbarts","family=hurdle.lognormal","","","","refused","family ""hurdle.lognormal"" fits two component samplers and is only available through bart2()"
"dbarts","family=twopart","","","","refused","family ""hurdle.lognormal"" fits two component samplers and is only available through bart2()"
"dbarts","family=zzz-invalid","","","","error-without-reason","'arg' should be one of “auto”, “gaussian”, “probit”, “logistic”, “aft”, “multinomial”, “ordinal”, “nbinom”, “hazard”, “hazard.probit”, “hazard.logistic”, “hurdle.lognormal”, “twopart”"
"bart2","family=auto","","","","accepted","bart len15"
"bart2","family=gaussian","","","","accepted","bart len15"
"bart2","family=probit","","","","accepted","bart len11"
"bart2","family=logistic","","","","accepted","bart len11"
"bart2","family=aft","","","","accepted","bart len16"
"bart2","family=multinomial","","","","accepted","bartMultinomial len11"
"bart2","family=ordinal","","","","accepted","bartOrdinal len15"
"bart2","family=nbinom","","","","accepted","bartNegbin len13"
"bart2","family=hazard","","","","refused","discrete-time hazard fits do not take a 'test' set; expand test subjects with survivalProbabilities(fit, times, newdata = )"
"bart2","family=hazard.probit","","","","refused","discrete-time hazard fits do not take a 'test' set; expand test subjects with survivalProbabilities(fit, times, newdata = )"
"bart2","family=hazard.logistic","","","","refused","discrete-time hazard fits do not take a 'test' set; expand test subjects with survivalProbabilities(fit, times, newdata = )"
"bart2","family=hurdle.lognormal","","","","refused","family = ""hurdle.lognormal"" does not take a 'test' set; the positive-part fit is given the full training x as its own x.test"
"bart2","family=twopart","","","","refused","family = ""hurdle.lognormal"" does not take a 'test' set; the positive-part fit is given the full training x as its own x.test"
"bart2","family=zzz-invalid","","","","error-without-reason","'arg' should be one of “auto”, “gaussian”, “probit”, “logistic”, “aft”, “multinomial”, “ordinal”, “nbinom”, “hazard”, “hazard.probit”, “hazard.logistic”, “hurdle.lognormal”, “twopart”"
"bart","family=auto","","","","accepted","bart len15"
"bart","family=logistic","","","","accepted","bart len9"
"bart","family=aft","","","","accepted","bart len16"
"bart","family=zzz-invalid","","","","error-without-reason","'arg' should be one of “auto”, “logistic”, “aft”"
"rbart_vi","family=auto","","","","accepted","rbart len18"
"rbart_vi","family=gaussian","","","","accepted","rbart len18"
"rbart_vi","family=aft","","","","refused","'x' must have the same number of observations as 'y'"
"rbart_vi","family=zzz-invalid","","","","error-without-reason","'arg' should be one of “auto”, “gaussian”, “aft”"
"xbart","family=auto","","","","accepted","numeric len2"
"xbart","family=gaussian","","","","accepted","numeric len2"
"xbart","family=probit","","","","accepted","numeric len2"
"xbart","family=logistic","","","","accepted","numeric len2"
"xbart","family=zzz-invalid","","","","error-without-reason","'arg' should be one of “auto”, “gaussian”, “probit”, “logistic”"
"dbartsSpec","family=auto","","","","accepted","list len4"
"dbartsSpec","family=gaussian","","","","accepted","list len4"
"dbartsSpec","family=probit","","","","accepted","list len4"
"dbartsSpec","family=logistic","","","","accepted","list len4"
"dbartsSpec","family=aft","","","","error-without-reason","fixture dbartsData() build failed"
"dbartsSpec","family=multinomial","","","","refused","family ""multinomial"" cannot fit a 3-level factor response; a 3+-level factor is multinomial (bart2(family = ""multinomial""))"
"dbartsSpec","family=ordinal","","","","accepted","list len4"
"dbartsSpec","family=nbinom","","","","accepted","list len4"
"dbartsSpec","family=zzz-invalid","","","","error-without-reason","'arg' should be one of “auto”, “gaussian”, “probit”, “logistic”, “aft”, “multinomial”, “ordinal”, “nbinom”"
"dbartsSpec","family=multinomial (counts-based dbartsData)","","","","accepted","list len4"
"dbartsData","family=gaussian (dbartsData has no family formal)","","","","error-without-reason","unused argument (family = ""gaussian"")"
"dbartsControl","family=gaussian (dbartsControl has no family formal)","","","","error-without-reason","unused argument (family = ""gaussian"")"
"dbarts","resid.dist=student()","","","","accepted","dbartsSampler len1  attrs=[.xData]"
"dbarts","variance=~x1","","","","accepted","dbartsSampler len1  attrs=[.xData]"
"dbarts","weights=valid","","","","accepted","dbartsSampler len1  attrs=[.xData]"
"dbarts","weights=NA","","","","refused","'weights' cannot be NA"
"dbarts","offset=valid","","","","accepted","dbartsSampler len1  attrs=[.xData]"
"dbarts","test=matrix","","","","accepted","dbartsSampler len1  attrs=[.xData]"
"dbarts","subset=half","","","","accepted","dbartsSampler len1  attrs=[.xData]"
"dbarts","control=sc(keepTrees=FALSE)","","","","accepted","dbartsSampler len1  attrs=[.xData]"
"dbarts","samplerOnly=TRUE (no such formal)","","","","error-without-reason","unused argument (samplerOnly = TRUE)"
